year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1937,17.5,18.9,14.2,12.3,11.5,7.1,7.7,5.3,8.9,8.4,7.5,12.5,50.3,37.9,20,24.8,131.6
1938,16.6,5.1,3.4,1.1,10.4,9.2,13.3,12.7,11.7,15.5,14.2,17.8,34.3,14.8,35.3,41.4,131
1939,19.4,9.6,10.3,11.1,6.3,10.5,19.8,11.3,4.2,14.1,17.9,8.3,46.8,27.7,41.6,36.2,142.8
1940,7.9,12.4,11.2,12.1,8.2,4.9,14.4,3.1,8,13.7,16.8,11.5,28.6,31.6,22.3,38.5,124.1
1941,13.8,14.9,11,7.5,10.2,4.5,11.5,17.9,3.3,10.4,14.9,8,40.2,28.7,33.9,28.6,128
1942,12.8,4.7,9.6,7.5,13.5,2.7,11.4,12.6,10.7,12.5,6.2,15.4,25.5,30.6,26.7,29.3,119.5
1943,18.6,7.8,4.5,8.3,9.6,10.4,7.3,13.3,11,10.7,12.8,7,41.8,22.5,31,34.5,121.4
1944,11.8,8.5,3.2,9.2,6.9,12,12,9.3,12.4,15.7,19.9,10.4,27.3,19.3,33.3,48.1,131.3
1945,11.3,11.2,6,7.8,12.8,15,8.4,10.7,10.1,10,3.4,13.7,32.9,26.6,34.1,23.5,120.3
1946,11.7,12.4,5.8,7.2,9.4,16.5,9.1,17.3,14.7,6,18.8,16,37.8,22.5,42.9,39.5,145
1947,13.6,9.2,22.2,11.6,11.4,9.9,12.7,2.2,9.4,4.3,12.2,11.2,38.8,45.2,24.8,25.9,129.9
1948,22.7,9.9,4.9,10.1,9.9,15.8,7.6,13.3,8.5,9.7,9.9,12.7,43.8,24.9,36.7,28,134.9
1949,8.3,6.9,7.1,9.5,10.8,4,7,7,5.7,13.8,16,13.5,27.9,27.4,18,35.4,109.5
1950,5.2,15.3,8.6,15,9.3,8,11.2,16.2,17.7,7.8,17.9,11.7,34.1,32.9,35.5,43.4,144
1951,14,16.1,17.2,12.4,14.1,7.3,7.8,18,10.3,5.7,20.9,13.4,41.7,43.8,33.1,36.9,157.2
1952,13.8,4.8,11.2,10.4,12.5,9.7,5.6,12.3,12.3,13.4,10.8,14.9,32,34.1,27.5,36.5,131.6
1953,5.1,7.9,5,12.5,8.9,12,15.4,11.3,10.4,8.6,8.4,8.7,27.9,26.3,38.7,27.4,114.1
1954,8.7,13.6,11.3,3.7,12.3,10.6,14,17.6,15.7,16,17.4,11.5,31,27.3,42.1,49.2,152.3
1955,11.6,10.9,7.7,7.8,15.5,10.1,3.2,4.8,8.8,8.5,8.1,15.5,34,31,18.1,25.3,112.4
1956,16.8,6.4,6.2,7.8,4.3,12.2,13.5,19.7,10.2,9.2,7,14.8,38.7,18.3,45.4,26.4,128.1
1957,12.9,13.9,12.8,2.1,8.6,8.3,16.6,14.1,15.6,10,6.7,12.3,41.7,23.5,39,32.3,133.9
1958,12.7,14.2,9.4,4.8,13.2,17.2,14,14.9,14.4,11.9,7.8,15.2,39.2,27.4,46.1,34.1,149.7
1959,12.5,1.6,12,13.3,5.6,9.3,8.7,4.8,1,10.8,14,21.2,29.3,30.9,22.7,25.8,114.8
1960,15.4,12.4,9.9,7,5.2,8.2,16.5,16.4,12.6,20.9,20.5,12.8,49,22.1,41,54,157.7
1961,15.5,12.2,2.7,16.3,6.2,5.5,9.5,13.4,11,15.8,10.2,12.8,40.5,25.2,28.3,36.9,131
1962,14.7,6.8,7.1,11.9,12.8,3.9,8.5,12.8,12.6,5.3,11,10.4,34.3,31.7,25.2,28.9,117.7
1963,6.4,5,14.9,14.6,11.3,13.9,10,15,8.6,9.6,18.8,5.2,21.8,40.9,39,37,133.5
1964,5.7,7,10.9,12.3,10.7,11.3,8.6,8.1,5.8,8.6,8.9,12.8,17.9,33.9,28,23.3,110.7
1965,14.7,4.4,11.7,12.8,12.4,10.9,14.8,10.5,15.4,5.2,14.5,18.6,31.9,36.9,36.1,35.1,145.7
1966,9.8,15.7,8.3,16.6,11.5,12.6,11.5,11.3,7,16.2,12.3,16.9,44.1,36.3,35.3,35.6,149.6
1967,11.2,10.4,8.7,8.2,21.3,4.8,9.1,11.9,14.8,17.9,9.6,13,38.4,38.1,25.9,42.3,140.8
1968,12.4,5.9,9.6,11.3,14.1,11.8,9,10.4,16.1,11.8,10.9,9.2,31.3,35,31.2,38.9,132.6
1969,13.4,12.7,9.3,10.6,19.5,8.8,5.8,12,6.1,4.1,13.5,13.4,35.3,39.4,26.6,23.6,129.1
1970,18.6,15,13.6,15.1,5.1,7.7,11.7,9,8.8,8.4,18.9,9.5,47,33.8,28.3,36.1,141.3
1971,15.7,6.2,10.3,5,9,12.1,6.5,13.1,5.1,8.1,9.8,6.7,31.4,24.4,31.6,22.9,107.5
1972,16.2,12.1,14.1,11.4,14.9,14.7,8.6,6.7,4,5.2,11.3,12.8,35,40.4,30,20.6,132.1
1973,7.4,8.2,5.1,10.7,13.5,6,10.3,6.4,9.3,8.9,7.5,11.3,28.4,29.3,22.6,25.7,104.4
1974,15.9,13.5,9.1,2.8,8.6,9.4,11.1,11.5,18.5,14.6,15.2,11.7,40.7,20.5,32,48.2,141.9
1975,17.5,6.4,12.9,14.8,6.7,4,11.1,7.6,11.8,5.2,11,5.3,35.6,34.4,22.8,28,114.4
1976,8.8,8.2,7.9,4.1,13.6,4,5.1,2.9,13.9,21.6,10.8,13.2,22.3,25.6,12,46.3,114.2
